"Display_Order","Gene","Candidate_Category","Tissue","MR_Method","nSNP","Min_F","Beta","SE","P","OR","OR_Lower_95","OR_Upper_95","OR_CI_Label","Coloc_PP4","Effect_Direction","Figure_Color"
"1","SMPD2","Primary candidate","Blood","Wald ratio","1","2781.85","0.257509281133986","0.0907863651704354","0.0046237","1.29370381796307","1.082819194578","1.54565930950687","1.29 (1.08-1.55)","0.685197","Risk-increasing","#174EA6"
"1","SMPD2","Primary candidate","Brain BA9","Wald ratio","1","36.0475986833374","0.229117665058496","0.0669477565508308","0.000620857174766343","1.25748999293874","1.10285256296286","1.43381004446587","1.26 (1.10-1.43)","0.685197","Risk-increasing","#174EA6"
"2","FDXR","Secondary, prior-sensitive candidate","Blood","Wald ratio","1","213.51638884","1.17397506193455","0.393214793118079","0.00283039115695627","3.23482574812392","1.49671703683871","6.9913666799886","3.23 (1.50-6.99)","0.521703","Risk-increasing","#2563EB"
"2","FDXR","Secondary, prior-sensitive candidate","Brain BA9","Wald ratio","1","35.8326597410681","0.262092710188874","0.0877861329054541","0.00283039115695627","1.29964702736558","1.09420917714487","1.54365584846175","1.30 (1.09-1.54)","0.521703","Risk-increasing","#2563EB"
"3","ASAP3","Exploratory PP4 > 0.40 candidate","Blood","Wald ratio","1","356.38643524","-0.922387208526237","0.333057685584431","0.00561507108708192","0.397568827661815","0.206970238322841","0.76368937876875","0.40 (0.21-0.76)","0.473556","Protective","#4B5563"
"3","ASAP3","Exploratory PP4 > 0.40 candidate","Brain BA9","Wald ratio","1","47.2895667194992","-0.353370293183336","0.119734536551808","0.00316458611288262","0.702317081993475","0.555409285968271","0.888082529624842","0.70 (0.56-0.89)","0.473556","Protective","#4B5563"
"4","TCEA3","Exploratory PP4 > 0.40 candidate","Blood","IVW","2","77.60905216","-0.46482780444185","0.222961394616719","0.0370883185488771","0.628243276577721","0.405825450017404","0.972560036705892","0.63 (0.41-0.97)","0.452509","Protective","#4B5563"
"4","TCEA3","Exploratory PP4 > 0.40 candidate","Brain BA9","Wald ratio","1","154.26361189505","-0.118029195050744","0.0406303350479633","0.00367308789934073","0.888670107467002","0.820645008870658","0.962333958494694","0.89 (0.82-0.96)","0.452509","Protective","#4B5563"
