Method,nSNP_Brain,Min_F_Brain,Beta_Brain,SE_Brain,P_Brain,OR_Brain,Gene
Wald ratio,1,22.147546136038383,-0.688267017773228,0.23074978107231398,0.002856788858631276,0.502446045087885,AARS2
IVW,2,17.585422818442538,-0.04829737282451198,0.04985104981127978,0.33262821155764577,0.9528503931300214,RUNX2
IVW,2,18.767543323378455,-0.059623280341139645,0.07833173139483131,0.44655922183878816,0.9421193816329887,CENPQ
Wald ratio,1,62.37559965156567,-0.10492052336757685,0.0532436594390128,0.048772725311977405,0.9003960801909499,EIF3EP1
Wald ratio,1,19.667778433651485,-0.08704669069117396,0.09032141878701144,0.33517448164241914,0.9166342963451458,PPIL6
Wald ratio,1,36.04759868333739,0.22911766505849596,0.06694775655083077,0.0006208571747663427,1.2574899929387418,SMPD2
Wald ratio,1,18.481933089149873,-0.22037260966920788,0.08591240804539632,0.010315059990251285,0.8022198274017565,CENPW
Wald ratio,1,20.489735397810005,-0.36346158845703885,0.17173794358507732,0.03431307597134059,0.6952654329212993,STX7
IVW,2,19.20956003991885,0.013904350987496475,0.26432513689506254,0.9580480583899968,1.014001466061024,PHF10
Wald ratio,1,45.65500692961478,-0.21612288550783254,0.11060112661727119,0.05069235990425458,0.8056362947651243,ZMIZ2
Wald ratio,1,21.77615247295665,0.006603034841676879,0.09339021770374742,0.9436335683125603,1.006624882937678,NPTX2
Wald ratio,1,17.187341661445764,0.007697578601488601,0.34579529729329556,0.9822401519974597,1.0077272811232376,CNPY4
Wald ratio,1,45.942090911631986,-0.08550083641709333,0.07524661631266792,0.2558415599762187,0.9180523751791386,STAG3
IVW,2,16.67985876888121,-0.23710876202222786,0.07366085624809683,0.0012867219400469754,0.7889054803959945,PMS2P1
Wald ratio,1,132.07780798929338,0.134926950845085,0.044119317517431235,0.002226497885532863,1.1444531799601008,SH2B2
Wald ratio,1,22.845742118589172,-0.05784151760983836,0.06529809313948765,0.3757214577267589,0.9437995111872415,ALG1L13P
Wald ratio,1,29.426602085211155,0.07435109105239858,0.09093686904132071,0.4135786747492731,1.0771849291048152,TMEM68
Wald ratio,1,39.84600893809976,-0.0028086092804485235,0.11071416056820171,0.9797613454586196,0.9971953311726689,LRRCC1
Wald ratio,1,22.029758247527703,-0.09518550204295344,0.08164450740044692,0.24367384397974545,0.9092042595763332,NBN
